[2023.05.09 15:42:16.993] ★★★ Node.js를 활용한 Web Server 구동(Port:80) ★★★
[2023.05.09 15:42:25.501] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 15:42:25.542] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 15:42:25.642] [HTTP] /favicon.ico (Method: GET, IP: ::1)
[2023.05.09 15:42:25.647] [Error:404] /favicon.ico/n Error: ENOENT: no such file or directory, stat 'C:\takensoft\dev\nodejs\workspace\금오공대\favicon.ico'/n
[2023.05.09 15:42:59.203] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 15:42:59.215] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 15:43:02.396] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 15:43:02.409] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 15:49:12.736] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 15:49:12.748] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:17:51.203] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:17:51.216] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:18:05.654] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:18:05.669] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:18:46.176] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:18:46.188] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:20:41.219] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:20:41.233] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:20:42.566] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:20:42.584] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:20:43.129] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:20:43.139] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:20:43.658] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:20:43.670] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:20:43.871] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:20:43.885] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:20:45.450] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:20:45.461] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:21:04.149] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:21:04.167] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:21:04.267] [HTTP] /favicon.ico (Method: GET, IP: ::1)
[2023.05.09 16:21:04.269] [Error:404] /favicon.ico/n Error: ENOENT: no such file or directory, stat 'C:\takensoft\dev\nodejs\workspace\금오공대\favicon.ico'/n
[2023.05.09 16:22:25.469] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:22:25.488] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:22:26.605] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:22:26.619] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:22:27.128] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:22:27.141] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:22:27.534] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:22:27.546] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:22:32.032] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:22:32.040] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:22:38.849] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:22:38.861] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:22:40.089] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:22:40.104] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:22:40.602] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:22:40.613] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:22:40.897] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:22:40.905] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:22:41.035] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:22:41.046] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:25:34.012] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:25:34.022] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:25:34.033] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:25:34.034] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:26:34.640] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:26:34.660] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:26:34.661] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:26:34.663] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:28:27.298] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:28:27.309] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:28:27.310] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:28:27.311] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:29:16.111] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:29:16.126] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:29:16.128] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:29:16.131] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:29:17.815] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:29:17.827] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:29:17.829] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:29:17.831] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:29:18.586] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:29:18.601] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:29:18.603] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:29:18.606] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:29:19.275] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:29:19.290] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:29:19.294] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:29:19.296] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:29:19.878] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:29:19.892] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:29:19.894] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:29:19.895] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:29:20.458] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:29:20.475] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:29:20.478] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:29:20.479] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:29:26.384] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:29:26.396] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:29:26.398] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:29:26.400] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:29:27.012] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:29:27.024] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:29:27.027] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:29:27.028] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:29:27.410] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:29:27.425] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:29:27.426] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:29:27.427] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:30:14.889] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:30:14.904] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:30:14.906] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:30:14.908] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:30:33.859] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:30:33.875] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:30:33.878] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:30:33.879] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:33:24.041] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:33:24.055] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:33:24.058] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:33:24.060] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:34:16.460] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:34:16.477] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:34:16.479] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:34:16.481] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:34:22.491] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:34:22.504] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:34:22.507] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:34:22.509] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:34:36.395] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:34:36.411] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.09 16:34:36.414] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.09 16:34:36.416] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.09 16:35:24.347] [HTTP] / (Method: GET, IP: ::1)
[2023.05.09 16:35:24.363] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
