[2023.05.12 11:52:28.239] ★★★ Node.js를 활용한 Web Server 구동(Port:8081) ★★★
[2023.05.12 11:53:00.522] ★★★ Node.js를 활용한 Web Server 구동(Port:80) ★★★
[2023.05.12 11:53:03.169] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 11:53:03.203] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 11:53:03.205] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 11:53:03.214] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 11:53:03.311] [HTTP] /favicon.ico (Method: GET, IP: ::1)
[2023.05.12 11:53:03.315] [Error:404] /favicon.ico/n Error: ENOENT: no such file or directory, stat 'C:\takensoft\dev\nodejs\workspace\금오공대\favicon.ico'/n
[2023.05.12 11:53:49.173] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.12 11:53:49.850] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.12 11:53:50.022] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.12 11:53:50.210] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.12 11:53:55.049] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 11:53:55.063] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 11:53:55.065] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 11:53:55.066] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 11:53:55.613] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 11:53:55.631] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 11:53:55.632] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 11:53:55.634] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 11:53:55.847] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 11:53:55.861] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 11:53:55.862] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 11:53:55.863] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 11:54:27.387] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 11:54:27.395] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 11:54:27.397] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 11:54:27.398] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 11:56:37.998] [HTTP] /Dashboard1 (Method: GET, IP: ::1)
[2023.05.12 11:56:41.218] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 11:56:41.232] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 11:56:41.234] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 11:56:41.236] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 11:56:51.282] [HTTP] /Dashboard1 (Method: GET, IP: ::1)
[2023.05.12 11:56:52.340] [HTTP] /Dashboard1 (Method: GET, IP: ::1)
[2023.05.12 11:56:56.708] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 11:56:56.719] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 11:56:56.721] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 11:56:56.723] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 11:57:10.008] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 11:57:10.019] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 11:57:10.020] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 11:57:10.022] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 11:57:11.024] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 11:57:11.032] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 11:57:11.033] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 11:57:11.034] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 12:00:29.243] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.12 12:00:31.501] [HTTP] / (Method: GET, IP: ::1)
[2023.05.12 12:00:31.516] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.12 12:00:31.517] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.12 12:00:31.518] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.12 13:00:18.225] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.12 13:00:19.142] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
[2023.05.12 13:00:19.359] [HTTP] /Dashboard2 (Method: GET, IP: ::1)
