[2023.05.23 10:29:45.930] [HTTP] /Barchart.page (Method: GET, IP: ::1)
[2023.05.23 10:29:45.966] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 10:29:45.970] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 10:29:45.974] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 10:29:45.976] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 10:50:37.034] [HTTP] /Barchart.page (Method: GET, IP: ::1)
[2023.05.23 10:50:37.054] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 10:50:37.056] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 10:50:37.058] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 10:50:37.059] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 10:50:39.219] [HTTP] /Barchart.page (Method: GET, IP: ::1)
[2023.05.23 10:50:39.233] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 10:50:39.237] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 10:50:39.238] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 10:50:39.239] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 10:51:40.325] [HTTP] /Barchart.page (Method: GET, IP: ::1)
[2023.05.23 10:51:40.369] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 10:51:40.372] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 10:51:40.374] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 10:51:40.376] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 10:51:40.636] [HTTP] /Barchart.page (Method: GET, IP: ::1)
[2023.05.23 10:51:40.658] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 10:51:40.660] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 10:51:40.662] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 10:51:40.663] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 10:51:40.799] [HTTP] /Barchart.page (Method: GET, IP: ::1)
