[2023.05.24 10:34:57.799] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.24 10:34:57.813] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 10:34:57.818] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 10:34:57.819] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 10:34:57.820] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 10:34:58.098] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.24 10:34:58.112] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 10:34:58.113] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 10:34:58.119] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 10:34:58.120] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 10:37:16.941] [HTTP] /Barchart.page/$%7Bid%7D (Method: GET, IP: ::1)
[2023.05.24 10:37:16.944] [Error:404] /Barchart.page/$%7Bid%7D/n Error: ENOENT: no such file or directory, stat 'C:\Users\jjy09\Desktop\metadata-team\dgcatholic\Barchart.page\${id}'/n
[2023.05.24 10:37:17.816] [HTTP] /Barchart.page/$%7Bid%7D (Method: GET, IP: ::1)
[2023.05.24 10:37:17.819] [Error:404] /Barchart.page/$%7Bid%7D/n Error: ENOENT: no such file or directory, stat 'C:\Users\jjy09\Desktop\metadata-team\dgcatholic\Barchart.page\${id}'/n
[2023.05.24 10:37:19.400] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.24 10:37:19.413] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 10:37:19.415] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 10:37:19.417] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 10:37:19.419] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 10:38:36.190] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.24 10:38:36.204] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 10:38:36.207] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 10:38:36.208] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 10:38:36.209] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 10:39:15.174] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.24 10:39:15.190] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 10:39:15.192] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 10:39:15.194] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 10:39:15.195] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 10:40:28.063] [HTTP] /Barchart.page/$%7Bid%7D (Method: GET, IP: ::1)
[2023.05.24 10:40:28.066] [Error:404] /Barchart.page/$%7Bid%7D/n Error: ENOENT: no such file or directory, stat 'C:\Users\jjy09\Desktop\metadata-team\dgcatholic\Barchart.page\${id}'/n
[2023.05.24 10:40:29.689] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.24 10:40:29.702] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 10:40:29.704] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 10:40:29.706] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 10:40:29.708] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 10:41:08.678] [HTTP] /Barchart.page/$%7Bid%7D (Method: GET, IP: ::1)
[2023.05.24 10:41:08.680] [Error:404] /Barchart.page/$%7Bid%7D/n Error: ENOENT: no such file or directory, stat 'C:\Users\jjy09\Desktop\metadata-team\dgcatholic\Barchart.page\${id}'/n
[2023.05.24 10:41:12.225] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.24 10:41:12.235] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 10:41:12.238] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 10:41:12.239] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 10:41:12.240] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 10:41:15.018] [HTTP] /Barchart.page/$%7Bid%7D (Method: GET, IP: ::1)
[2023.05.24 10:41:15.021] [Error:404] /Barchart.page/$%7Bid%7D/n Error: ENOENT: no such file or directory, stat 'C:\Users\jjy09\Desktop\metadata-team\dgcatholic\Barchart.page\${id}'/n
[2023.05.24 10:41:16.449] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.24 10:41:16.462] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 10:41:16.464] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 10:41:16.465] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 10:41:16.467] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 10:43:27.963] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.24 10:43:27.977] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.24 10:43:27.979] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.24 10:43:27.980] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.24 10:43:27.982] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.24 10:44:00.245] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.24 10:44:00.272] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
