[2023.05.27 13:09:31.001] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:09:31.023] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:09:31.032] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:09:36.456] [HTTP] /Visualization.page/StandardData2 (Method: GET, IP: ::1)
[2023.05.27 13:09:36.460] [Error:404] /Visualization.page/StandardData2/n Error: ENOENT: no such file or directory, stat 'C:\Users\jjy09\Desktop\metadata-team\dgcatholic\Visualization.page\StandardData2'/n
[2023.05.27 13:09:38.344] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.27 13:09:38.375] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:09:38.379] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:09:38.381] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:09:38.383] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:18:08.622] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:18:08.637] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:18:08.638] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:18:08.639] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:18:08.640] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:21:09.351] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:21:09.367] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:21:09.369] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:21:09.371] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:21:09.373] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:21:09.988] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:21:10.001] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:21:10.003] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:21:10.003] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
