[2023.05.28 00:00:00.736] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:00:00.760] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:00:00.763] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:00:00.765] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:00:00.766] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:00:01.192] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:00:01.203] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:00:01.204] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:00:01.205] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:00:01.206] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:01:25.085] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:01:25.100] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:01:25.101] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:01:25.102] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:01:25.103] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:01:25.905] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:01:25.919] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:01:25.920] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:01:25.921] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:01:25.922] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:01:26.086] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:01:26.114] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:01:26.116] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:01:26.117] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
