[2023.05.13 16:32:51.383] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 16:32:51.398] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 16:32:51.399] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 16:32:51.400] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 16:34:38.554] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 16:34:38.568] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 16:34:38.571] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 16:34:38.572] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 16:39:33.791] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 16:39:33.801] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 16:39:33.803] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 16:39:33.804] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 16:49:09.711] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 16:49:09.721] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 16:49:09.722] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 16:49:09.723] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 16:55:06.242] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 16:55:06.257] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 16:55:06.259] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 16:55:06.260] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 16:55:31.652] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 16:55:31.660] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 16:55:31.661] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 16:55:31.662] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 16:55:31.718] [HTTP] /client/resources/images/pattern.png (Method: GET, IP: ::1)
[2023.05.13 16:58:07.746] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 16:58:07.758] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 16:58:07.759] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 16:58:07.760] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 16:58:07.805] [HTTP] /client/resources/images/pattern_2.png (Method: GET, IP: ::1)
[2023.05.13 17:00:09.702] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:00:09.717] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:00:09.720] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:00:09.721] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:00:09.773] [HTTP] /client/resources/images/pattern_2.png (Method: GET, IP: ::1)
[2023.05.13 17:02:01.928] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:02:01.942] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:02:01.943] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:02:01.944] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:02:01.989] [HTTP] /client/resources/images/pattern.png (Method: GET, IP: ::1)
[2023.05.13 17:04:51.671] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:04:51.684] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:04:51.686] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:04:51.687] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:05:11.129] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:05:11.145] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:05:11.147] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:05:11.148] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:05:11.988] [HTTP] /client/resources/images/pattern.png (Method: GET, IP: ::1)
[2023.05.13 17:05:22.528] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:05:22.544] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:05:22.547] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:05:22.549] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:11:00.557] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:11:00.567] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:11:00.568] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:11:00.569] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:11:01.536] [HTTP] /client/resources/images/pattern.png (Method: GET, IP: ::1)
[2023.05.13 17:14:38.845] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:14:38.855] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:14:38.856] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:14:38.857] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:15:50.694] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:15:50.706] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:15:50.708] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:15:50.709] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:15:55.447] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:15:55.459] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:15:55.462] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:15:55.463] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:16:06.956] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:16:06.973] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:16:06.975] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:16:06.976] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:17:28.048] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:17:28.057] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:17:28.059] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:17:28.060] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:17:38.780] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:17:38.796] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:17:38.797] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:17:38.801] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:19:22.778] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:19:22.790] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:19:22.795] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:19:22.798] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:19:46.454] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:19:46.471] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:19:46.473] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:19:46.474] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:20:16.813] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:20:16.826] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:20:16.828] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:20:16.829] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:31:32.270] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:31:32.286] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:31:32.288] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:31:32.290] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:32:10.310] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:32:10.324] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:32:10.325] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:32:10.326] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:32:24.026] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:32:24.038] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:32:24.040] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:32:24.041] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:36:57.399] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:36:57.414] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:36:57.415] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:36:57.416] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:37:27.180] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:37:27.196] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:37:27.198] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:37:27.198] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:38:14.182] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:38:14.194] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:38:14.196] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
