[2023.05.16 01:34:35.410] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.16 01:34:35.427] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 01:34:35.429] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 01:34:35.430] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 01:34:35.431] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 01:34:37.981] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.16 01:34:37.995] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 01:34:37.997] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 01:34:37.998] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 01:34:37.999] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 01:34:39.952] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.16 01:34:39.965] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 01:34:39.967] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 01:34:39.968] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 01:34:39.969] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 01:35:16.247] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.16 01:35:16.255] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 01:35:16.256] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 01:35:16.257] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 01:35:16.258] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 01:36:25.473] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 01:36:25.486] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 01:36:25.488] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 01:36:25.489] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 01:36:25.490] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 01:36:35.066] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.16 01:36:35.075] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 01:36:35.077] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 01:36:35.078] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 01:36:35.080] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 01:36:36.888] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.16 01:36:36.901] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 01:36:36.903] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 01:36:36.904] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 01:36:36.905] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 01:36:37.272] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.16 01:36:37.281] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 01:36:37.282] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 01:36:37.283] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 01:36:37.283] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 01:36:37.418] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.16 01:36:37.441] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 01:36:37.443] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 01:36:37.444] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 01:36:37.445] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 01:36:58.134] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.16 01:36:58.142] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 01:36:58.143] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 01:36:58.144] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 01:36:58.145] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 01:36:58.682] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.16 01:36:58.692] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 01:36:58.694] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 01:36:58.696] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 01:36:58.697] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 01:36:58.852] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.16 01:36:58.876] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 01:36:58.877] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 01:36:58.878] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 01:36:58.879] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 01:37:09.214] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.16 01:37:09.225] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 01:37:09.227] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 01:37:09.228] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 01:37:09.229] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 01:37:09.757] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.16 01:37:09.766] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 01:37:09.768] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 01:37:09.768] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 01:37:09.769] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 01:37:18.155] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.16 01:37:18.171] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 01:37:18.172] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 01:37:18.173] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 01:37:18.174] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 01:38:45.506] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 01:38:45.515] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 01:38:45.516] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 01:38:45.517] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 01:38:45.518] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 02:04:08.464] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.16 02:04:08.480] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 02:04:08.482] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 02:04:08.482] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 02:04:08.483] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:32:25.251] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.16 15:32:25.266] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:32:25.268] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:32:25.269] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:32:25.269] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:32:25.377] [HTTP] /favicon.ico (Method: GET, IP: ::1)
[2023.05.16 15:32:25.380] [Error:404] /favicon.ico/n Error: ENOENT: no such file or directory, stat 'C:\takensoft\dev\nodejs\workspace\dgcatholic\favicon.ico'/n
[2023.05.16 15:32:49.103] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.16 15:32:49.116] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:32:49.118] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:32:49.119] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:32:49.120] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:33:50.376] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.16 15:33:50.390] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:33:50.392] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:33:50.393] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:33:50.394] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:35:07.622] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:35:07.638] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:35:07.640] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:35:07.641] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:35:07.642] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:37:56.132] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:37:56.144] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:37:56.148] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:37:56.149] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:37:56.150] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:38:11.672] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:38:11.691] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:38:11.693] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:38:11.694] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:38:11.695] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:38:49.453] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:38:49.466] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:38:49.467] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:38:49.468] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:38:49.470] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:39:28.030] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:39:28.044] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:39:28.045] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:39:28.047] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:39:28.050] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:40:03.368] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:40:03.379] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:40:03.380] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:40:03.382] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
