[2023.05.18 10:32:17.950] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.18 10:32:17.960] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 10:32:17.962] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 10:32:17.963] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 10:32:17.965] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 10:42:35.031] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 10:42:35.043] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 10:42:35.045] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 10:42:35.047] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 10:42:35.048] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 10:42:45.852] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 10:42:45.862] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 10:42:45.864] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 10:42:45.865] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 10:42:45.867] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 10:44:38.623] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.18 10:44:38.638] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 10:44:38.640] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 10:44:38.641] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 10:44:38.642] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 10:52:42.357] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
