[2023.05.23 10:42:24.226] ★★★ Node.js를 활용한 Web Server 구동(Port:8001) ★★★
[2023.05.23 10:42:32.931] [HTTP] /barChart.page (Method: GET, IP: ::1)
[2023.05.23 10:42:32.959] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 10:42:32.966] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 10:42:32.969] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 10:42:33.006] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 10:42:33.948] [HTTP] /favicon.ico (Method: GET, IP: ::1)
[2023.05.23 10:42:33.954] [Error:404] /favicon.ico/n Error: ENOENT: no such file or directory, stat 'C:\Users\younghyeon\Desktop\dgcatholic2\favicon.ico'/n
[2023.05.23 10:48:10.782] [HTTP] /barChart.page (Method: GET, IP: ::1)
[2023.05.23 10:48:10.815] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 10:48:10.818] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 10:48:10.822] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 10:48:10.824] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 10:49:22.140] [HTTP] /barChart.page (Method: GET, IP: ::1)
[2023.05.23 10:49:22.166] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 10:49:22.171] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 10:49:22.177] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 10:49:22.180] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 10:49:47.155] [HTTP] /barChart.page (Method: GET, IP: ::1)
[2023.05.23 10:49:47.172] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 10:49:47.174] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 10:49:47.179] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 10:49:47.182] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 10:51:53.700] [HTTP] /barChart.page (Method: GET, IP: ::1)
[2023.05.23 10:51:53.725] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 10:51:53.728] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 10:51:53.732] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 10:51:53.734] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 10:53:04.065] [HTTP] /y_Barchart.page (Method: GET, IP: ::1)
[2023.05.23 10:53:04.081] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 10:53:04.085] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 10:53:04.087] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 10:53:04.089] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 10:58:35.464] [HTTP] /Barchart.page (Method: GET, IP: ::1)
[2023.05.23 10:58:35.490] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 10:58:35.492] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 10:58:35.495] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 10:58:35.497] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 10:58:36.254] [HTTP] /Barchart.page (Method: GET, IP: ::1)
[2023.05.23 10:58:36.275] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 10:58:36.277] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 10:58:36.281] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 10:58:36.283] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 10:58:36.392] [HTTP] /Barchart.page (Method: GET, IP: ::1)
[2023.05.23 10:58:36.409] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 10:58:36.412] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 10:58:36.416] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 10:58:36.418] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:01:07.774] [HTTP] /y_Barchart.page (Method: GET, IP: ::1)
[2023.05.23 11:01:07.799] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:01:07.803] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:01:07.805] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:01:07.807] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:01:07.935] [HTTP] /y_Barchart.page (Method: GET, IP: ::1)
[2023.05.23 11:01:07.950] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:01:07.953] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:01:07.955] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:01:07.957] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 11:01:08.087] [HTTP] /y_Barchart.page (Method: GET, IP: ::1)
[2023.05.23 11:01:08.101] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 11:01:08.104] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 11:01:08.106] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 11:01:08.107] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
